Country,Region,Population,Area,PopDensity,Coastline,Net migration,Infant_mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service,FIFA_Rank,UEFA_Rank,Attendance,Home_Away_Contrast
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,0.13,0,191.19,1900,42,7.8,2.41,0.24,97.35,,45.11,24.2,0.096,0.658,0.246,109,,,0.306863877
United States ,NORTHERN AMERICA                   ,298444215,9631420,31,0.21,3.41,6.5,37800,97,898,19.13,0.22,80.65,3,14.14,8.26,0.01,0.204,0.787,27,,,0.30215893
Italy ,WESTERN EUROPE                     ,58133509,301230,193,2.52,2.07,5.94,26700,98.6,430.9,27.79,9.53,62.68,,8.72,10.4,0.021,0.291,0.688,14,4,22213,0.298578087
Serbia ,EASTERN EUROPE                     ,9396411,88361,106.3,0,-1.33,12.89,2200,93,285.8,33.35,3.2,63.45,,,,0.166,0.255,0.579,50,27,2418,0.297210969
Australia ,OCEANIA                            ,20264082,7686850,2.6,0.34,3.98,4.69,29000,100,565.5,6.55,0.04,93.41,1,12.14,7.51,0.038,0.262,0.7,67,,13050,0.296248226
Romania ,EASTERN EUROPE                     ,22303552,237500,93.9,0.09,-0.13,26.43,7000,98.4,196.9,40.82,2.25,56.93,3,10.7,11.77,0.101,0.35,0.549,16,15,3465,0.296153775
Chile ,LATIN AMER. & CARIB    ,16134219,756950,21.3,0.85,0,8.8,9900,96.2,213,2.65,0.42,96.93,3,15.23,5.81,0.06,0.493,0.447,5,,5574,0.293817732
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,88,0.04,0.31,21.05,6100,,215.4,13.6,2.96,83.44,4,8.77,8.27,0.142,0.308,0.55,72,,,0.286222652
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,0,0,94.69,700,65.5,0.2,2.96,0.52,96.52,2,43.69,13.27,0.55,0.11,0.34,59,,,0.284058448
Hungary ,EASTERN EUROPE                     ,9981334,93030,107.3,0,0.86,8.57,13900,99.4,336.2,50.09,2.06,47.85,3,9.72,13.11,0.037,0.312,0.651,19,33,2480,0.28228544
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,0.15,-0.84,41.58,7000,79.4,276.4,8.72,1.39,89.89,1,17,5.55,0.116,0.424,0.46,44,,9468,0.277552034
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,47.8,0.79,-8.58,23.66,3300,92.5,125.6,5.85,4.93,89.22,2,22.29,4.23,0.07,0.312,0.618,13,,4906,0.274979143
France ,WESTERN EUROPE                     ,60876136,547030,111.3,0.63,0.66,4.26,27600,99,586.4,33.53,2.07,64.4,4,11.99,9.14,0.022,0.214,0.764,24,6,22368,0.267076935
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,0.08,0,68.26,1800,79,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382,61,,,0.266766277
Austria ,WESTERN EUROPE                     ,8192880,83870,97.7,0,2,4.66,30000,98,452.2,16.91,0.86,82.23,3,8.74,9.76,0.018,0.304,0.678,10,16,,0.263801258
Turkey ,NEAR EAST                          ,70413958,780580,90.2,0.92,0,41.04,6700,86.5,269.5,30.93,3.31,65.76,3,16.62,5.97,0.117,0.298,0.585,20,11,8211,0.261277815
Sweden ,WESTERN EUROPE                     ,9016596,449964,20,0.72,1.67,2.77,26800,99,715,6.54,0.01,93.45,3,10.27,10.31,0.011,0.282,0.707,34,21,9967,0.257627622
Russia ,C.W. OF IND. STATES ,142893540,17075200,8.4,0.22,1.02,15.39,8900,99.6,280.6,7.33,0.11,92.56,,9.95,14.65,0.054,0.371,0.575,23,7,10155,0.256131668
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,0,0,88.29,800,80.6,8.2,7.08,0.03,92.9,2,41,19.93,0.22,0.29,0.489,78,,,0.255399492
England,,53000000,130279,,,,,,,,,,,,,,,,,9,3,36175,0.248565919
Belgium ,WESTERN EUROPE                     ,10379067,30528,340,0.22,1.23,4.68,29100,98,462.6,23.28,0.4,76.32,3,10.38,10.27,0.01,0.24,0.749,1,9,11677,0.244700115
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0.63,0,20.48,7400,92.6,108.9,29.36,6.46,64.18,2,13.87,7.04,0.099,0.441,0.46,118,,6095,0.24367088
Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,0.46,-0.39,20.34,5400,99.7,259.9,56.21,1.61,42.18,3,8.82,14.39,0.187,0.452,0.361,27,8,6143,0.237481341
Poland ,EASTERN EUROPE                     ,38536869,312685,123.3,0.16,-0.49,8.51,11100,99.8,306.3,45.91,1.12,52.97,3,9.85,9.89,0.05,0.311,0.64,31,18,8250,0.233010923
